StudentID,Age,Gender,Year,StudyHours,AssignmentsAvg,HomeworkCompletionRate,AttendanceRate,ParticipationScore,MidtermScore,ProjectScore,FinalExamScore,SES,ParentalEducationLevel,StudyGroupHours,LibraryUsage,ExtraCreditScore,FinalGrade,Passed
50,19,1,2,10.81,32.92,35.13,73.88,4.61,29.59,34.32,33.16,5.27,3,3.73,8.23,3.08,19.46,0
51,25,0,2,16.83,45.93,50.27,74.67,5.2,48.89,46.74,48.66,4.55,2,4.71,9.5,4.43,59.4,0
52,24,0,4,17.23,47.65,49.71,75.53,4.94,46.61,49.36,46.81,4.12,2,4.85,10.11,4.92,37.7,0
53,17,0,3,23.57,67.21,69.07,81.44,5.65,67.32,67.96,68.48,4.12,2,6.42,12.83,6.25,66.85,1
54,17,1,4,17.78,52.68,48.42,,3.78,52.94,54.38,52.59,6.37,3,5.22,9.54,5.01,51.85,0
55,24,1,4,21.34,58.52,57.12,74.92,4.22,58.18,57.56,61.47,6.59,3,5.23,10.52,5.46,56.44,0
56,22,0,5,18.32,52.08,54.66,83.32,6.18,53.97,53.37,51.63,7.63,4,6.01,12.86,5.43,52.27,0
57,23,0,3,13.8,39.73,40.56,66.92,3.4,43.61,41.35,41.6,3.74,2,3.51,6.67,3.75,39.87,0
58,17,1,2,13.14,37.0,36.55,71.93,4.31,36.29,32.85,35.3,4.98,3,3.84,7.6,3.6,29.16,0
59,23,1,3,16.93,49.27,53.07,80.38,6.02,48.72,52.6,50.31,5.24,3,5.33,11.55,5.11,44.75,0
60,25,1,5,22.07,62.83,66.35,79.05,5.54,65.77,63.28,64.54,8.82,4,6.36,13.01,6.34,73.09,1
61,19,0,5,17.93,48.16,49.35,69.72,3.71,53.02,51.88,51.19,3.75,2,4.22,8.57,4.57,41.65,0
62,25,1,2,17.41,51.41,51.1,72.91,4.52,50.78,51.99,52.81,6.08,3,5.16,10.82,5.11,54.44,0
63,19,0,3,17.87,50.7,50.34,74.18,4.27,50.19,53.13,51.11,4.09,2,4.84,9.34,4.74,52.36,0
64,17,1,3,9.39,27.47,26.3,67.67,3.53,27.03,28.62,28.32,5.41,3,3.06,6.68,2.43,20.78,0
65,18,1,5,16.69,43.95,41.77,66.28,3.12,48.29,45.74,49.09,5.18,3,4.12,7.93,4.44,45.87,0
66,20,1,4,16.75,46.45,47.35,70.36,3.66,48.83,49.12,51.34,5.18,3,4.53,8.78,4.55,53.3,0
67,17,0,3,16.44,44.25,41.34,67.15,3.01,47.36,44.54,44.9,5.22,3,3.93,7.28,4.15,42.48,0
68,17,0,4,18.79,55.8,58.64,84.54,6.59,54.44,54.53,57.62,6.54,3,6.2,13.11,5.5,57.28,0
69,17,1,3,11.15,28.56,26.27,65.9,3.07,29.14,32.05,29.49,5.21,2,2.81,5.28,2.88,34.56,0
70,25,1,4,18.53,57.01,56.78,81.71,6.3,53.78,56.31,55.08,9.86,5,6.43,13.47,5.74,47.04,0
71,25,0,5,18.92,56.2,59.92,85.0,6.92,53.11,54.39,56.14,6.53,3,6.17,13.05,5.6,51.82,0
72,22,0,1,18.94,52.12,54.76,73.49,4.85,51.29,53.67,53.33,5.86,3,5.13,10.47,5.09,46.73,0
73,22,1,5,12.24,37.24,34.26,70.08,3.77,34.7,35.96,36.89,3.97,2,3.39,6.96,3.44,37.06,0
74,22,0,4,18.01,49.97,59.51,86.99,7.18,48.23,49.29,47.17,3.1,2,5.59,12.21,4.83,38.88,0
75,20,0,4,18.47,50.6,45.81,65.03,3.0,52.37,49.9,50.79,4.22,2,4.43,7.16,4.75,49.32,0
76,25,0,3,20.52,57.86,57.43,76.44,4.95,55.43,57.4,58.28,4.16,2,5.54,10.2,5.57,51.45,0
77,24,0,2,12.9,38.56,42.1,75.48,5.03,35.65,37.83,39.04,3.92,2,3.84,9.12,3.53,45.45,0
78,25,1,5,17.24,45.99,50.34,74.32,4.57,49.82,48.27,47.68,4.39,2,4.29,9.81,4.42,50.72,0
79,23,0,4,25.01,70.31,71.1,83.49,5.88,68.74,69.11,68.78,3.23,2,6.54,13.2,6.44,69.49,1
80,18,1,5,16.03,49.62,45.76,72.38,4.22,47.58,47.86,48.03,6.26,3,4.53,9.12,4.68,47.99,0
81,22,0,3,12.38,36.85,39.36,70.36,4.16,38.0,36.91,35.42,5.51,3,3.89,8.35,3.77,33.1,0
82,24,0,3,18.93,54.41,52.22,67.19,3.25,52.12,53.15,52.99,4.55,2,4.43,8.58,4.9,55.7,0
83,22,1,5,14.2,39.41,35.63,68.99,4.2,39.26,42.82,38.79,6.74,3,4.41,8.2,4.08,38.97,0
84,19,0,3,17.39,47.05,47.12,68.52,3.23,49.88,51.21,50.13,5.86,3,4.67,8.57,4.49,51.76,0
85,23,0,1,25.16,73.57,77.34,87.12,6.63,70.16,70.76,71.49,3.73,2,7.09,13.76,6.57,72.09,1
86,20,0,5,14.89,42.17,44.33,79.71,5.88,39.76,43.55,39.62,4.17,2,4.64,9.84,4.1,38.73,0
87,22,0,5,18.02,52.56,57.87,80.04,5.69,52.38,51.75,53.53,4.24,2,5.5,11.18,5.28,47.5,0
88,22,0,3,14.27,34.36,26.7,52.15,0.15,43.89,38.75,38.48,3.31,2,2.29,2.72,3.02,41.24,0
89,20,1,3,15.13,40.86,38.85,65.46,3.58,40.99,41.88,41.0,6.82,3,4.06,8.07,4.2,41.78,0
90,17,0,1,9.94,28.81,30.41,67.55,3.47,26.63,29.69,29.26,4.6,2,2.92,6.42,2.97,25.75,0
91,21,0,1,22.07,58.61,58.0,70.78,3.65,65.08,59.65,62.75,6.74,3,5.64,10.38,5.78,63.14,1
92,18,0,3,15.98,43.18,43.04,67.89,3.44,45.48,46.27,42.91,5.31,3,4.21,7.73,4.29,40.38,0
93,20,0,5,16.27,43.13,46.25,70.18,3.98,48.09,47.57,45.43,5.06,3,4.27,8.2,4.29,48.95,0
94,20,0,3,15.04,38.88,44.55,74.19,4.73,39.76,41.49,42.86,5.89,3,4.63,9.48,4.16,41.32,0
95,17,0,3,22.11,60.8,62.47,72.87,4.38,65.22,62.63,65.3,8.18,4,6.24,11.38,5.97,55.24,0
96,23,0,2,7.53,22.2,24.48,67.9,3.51,23.72,24.05,22.86,5.25,3,2.74,5.43,2.31,16.78,0
97,22,0,2,17.27,47.86,47.32,70.25,3.72,49.19,46.58,49.21,4.83,2,4.44,8.67,4.38,42.72,0
98,20,0,4,13.37,38.52,38.56,70.33,3.74,41.33,38.62,38.15,5.79,3,3.8,8.49,3.78,35.09,0
99,17,1,2,18.45,46.75,45.05,72.34,3.99,50.17,47.83,49.81,5.92,3,4.75,9.37,4.84,45.0,0
100,18,0,5,17.94,52.03,54.72,80.1,6.02,50.04,51.55,51.48,5.83,3,5.52,11.86,5.15,39.04,0
101,18,1,2,12.91,35.18,34.64,69.44,3.27,37.54,37.41,33.51,5.74,3,3.73,6.78,3.56,40.0,0
102,17,0,5,19.02,51.52,54.19,75.46,5.03,52.53,52.45,53.17,5.12,3,5.29,10.8,5.13,55.3,0
103,23,1,4,20.47,60.54,60.6,74.67,4.44,60.04,59.67,61.07,5.9,3,5.85,11.05,5.58,59.45,0
104,23,1,5,15.53,43.31,42.86,73.65,4.53,43.55,44.11,44.48,6.26,3,4.74,8.83,4.17,50.26,0
105,25,1,3,20.44,61.09,62.65,84.08,6.25,55.92,58.51,58.77,6.76,4,6.28,12.99,5.79,58.14,0
106,20,1,4,16.77,47.77,51.43,78.24,5.33,46.66,46.36,46.43,4.57,2,4.93,10.33,4.49,46.32,0
107,25,1,1,17.86,48.54,48.85,73.28,4.37,49.19,47.98,50.56,5.19,3,4.91,9.56,4.49,47.87,0
108,24,1,1,18.96,49.55,49.98,73.54,4.38,53.95,53.93,54.42,7.84,4,5.28,9.96,5.21,41.69,0
109,25,1,3,11.63,28.83,28.53,65.08,2.93,34.65,33.12,30.78,5.96,3,3.04,6.21,2.9,29.76,0
110,23,1,5,19.72,57.21,58.93,82.73,5.84,55.05,57.03,55.56,5.88,3,6.05,12.28,5.86,66.1,1
111,19,0,2,15.43,43.71,42.5,67.86,3.37,42.86,45.14,46.19,4.75,2,3.99,7.9,4.06,39.83,0
112,22,0,4,14.32,39.5,42.05,77.38,5.52,38.84,39.84,39.53,4.66,2,4.32,9.57,4.15,43.47,0
113,25,0,3,12.34,34.71,37.36,70.15,4.2,36.58,35.78,38.52,5.32,3,3.7,7.56,3.45,34.88,0
114,17,0,2,12.84,38.92,35.93,67.23,3.69,37.8,39.27,37.33,5.08,3,3.73,7.33,3.48,38.33,0
115,21,1,2,17.37,48.4,45.94,71.06,3.92,47.56,46.24,48.87,4.14,2,4.41,8.99,4.34,42.64,0
116,25,1,1,16.23,42.95,41.89,64.65,2.7,45.94,43.96,46.44,3.07,2,3.63,6.64,3.99,45.06,0
117,20,1,1,12.81,35.09,40.08,,4.06,38.05,39.95,37.05,5.16,3,3.85,7.48,3.51,43.03,0
118,17,0,2,22.76,63.84,69.24,83.67,6.14,64.94,62.81,63.69,5.29,3,6.46,13.29,6.32,65.05,1
119,17,1,2,15.44,41.69,41.34,66.51,3.1,47.46,44.24,44.64,4.73,2,3.91,6.61,3.97,46.93,0
120,21,0,2,14.73,42.03,44.07,73.82,4.65,41.57,40.98,39.91,3.96,2,4.38,8.84,3.87,36.74,0
121,22,0,3,17.97,54.1,61.22,86.21,6.81,51.16,53.83,52.88,5.16,3,6.15,13.04,5.51,47.29,0
122,18,1,1,17.56,49.16,57.25,77.33,5.35,52.81,51.85,49.9,4.8,2,5.09,10.97,5.13,41.08,0
123,19,1,4,16.64,48.32,51.44,72.83,4.72,48.7,46.6,47.99,5.32,3,4.64,10.21,4.74,49.81,0
124,25,1,3,13.02,36.65,39.84,72.2,4.54,36.01,35.42,37.83,5.55,3,4.1,8.19,3.66,31.98,0
125,19,1,1,23.68,65.59,69.34,84.7,7.05,63.82,66.02,65.34,8.11,4,7.24,15.51,6.99,69.37,1
126,19,1,3,13.68,40.64,43.91,77.47,5.68,35.64,38.44,36.96,5.09,3,4.21,9.83,3.83,37.75,0
127,23,0,2,24.26,67.94,69.17,74.44,4.35,69.12,68.07,69.07,4.49,2,6.2,11.17,6.44,76.92,1
128,17,1,2,12.6,32.2,26.15,58.29,1.57,37.07,35.6,36.66,3.75,2,2.68,3.93,3.05,32.1,0
129,25,1,3,13.17,34.53,40.26,72.59,4.33,36.7,36.53,38.22,5.23,3,4.13,8.59,3.67,31.94,0
130,24,0,3,23.43,67.86,71.29,85.89,6.3,67.96,68.6,70.37,4.96,3,6.8,13.85,6.64,60.91,1
131,22,1,1,12.69,36.42,37.29,72.41,4.45,34.38,36.32,36.86,3.21,2,3.47,7.82,3.34,32.06,0
132,17,0,4,23.88,69.15,73.58,87.07,7.0,64.88,70.31,66.75,5.13,3,6.99,14.7,6.69,69.13,1
133,24,1,4,9.99,29.65,33.13,76.81,5.46,26.08,28.78,27.32,4.48,2,3.61,8.66,3.01,25.33,0
134,25,0,1,20.17,53.7,51.88,67.09,3.14,60.32,55.14,59.04,4.49,2,4.84,8.62,4.97,60.14,1
135,23,1,1,15.9,45.4,47.41,73.04,4.77,42.95,47.76,46.44,4.37,2,4.35,9.22,4.38,48.45,0
136,20,0,2,18.19,48.3,47.14,69.08,3.4,52.59,50.41,53.15,5.06,2,4.7,8.39,4.57,40.38,0
137,21,0,1,16.76,48.63,48.51,78.53,5.52,49.08,49.78,48.58,5.93,3,5.54,10.87,5.01,45.87,0
138,22,0,3,10.77,28.26,25.97,62.19,2.31,34.16,32.58,32.24,6.01,3,2.51,5.38,2.94,22.25,0
139,21,1,3,16.58,48.65,48.46,69.95,3.98,52.64,49.32,51.12,7.05,3,5.09,8.9,4.81,53.68,0
140,24,0,3,,47.46,53.4,81.18,6.22,47.77,49.98,49.03,5.32,3,5.31,11.79,4.96,46.31,0
141,18,0,1,24.7,74.98,80.34,90.54,7.69,73.39,72.93,72.98,5.41,3,7.85,16.3,7.22,70.71,1
142,23,1,5,20.62,,62.2,81.41,6.08,59.34,57.52,59.7,6.94,3,6.21,13.21,6.17,52.58,0
143,22,1,2,13.11,36.34,41.51,75.69,5.12,35.39,35.36,36.94,6.24,3,4.34,9.55,3.93,32.6,0
144,22,0,4,7.36,21.28,16.67,59.86,2.08,22.09,24.32,20.25,2.0,1,1.59,2.62,1.7,19.41,0
145,24,0,1,15.36,48.67,47.58,79.75,5.66,45.84,48.01,45.03,6.91,3,5.02,11.21,4.87,36.09,0
146,24,0,1,16.55,52.57,54.12,83.45,6.5,46.56,46.7,47.19,3.57,2,5.31,11.9,4.74,38.81,0
147,20,1,2,8.77,27.89,25.09,67.97,3.8,26.7,28.73,25.59,5.03,2,3.21,5.81,2.71,29.42,0
148,23,1,3,15.15,38.73,35.63,61.24,2.04,46.61,42.06,42.91,4.57,2,3.33,5.44,3.65,40.29,0
149,23,0,4,11.09,31.5,36.18,74.03,5.11,31.06,32.46,33.42,5.17,3,3.67,7.8,3.21,34.73,0
150,23,0,5,10.81,32.03,34.55,66.11,3.05,35.46,33.35,33.4,3.48,2,3.15,6.31,2.75,32.9,0
151,18,1,5,15.38,48.04,49.01,78.37,5.45,44.4,46.26,44.57,3.76,2,4.68,10.22,4.17,46.57,0
152,23,0,4,18.58,50.36,48.15,70.77,4.01,50.76,48.83,47.56,4.02,2,4.59,8.89,4.49,45.5,0
153,23,0,2,14.8,43.24,40.61,66.2,3.47,41.93,41.69,42.86,3.94,2,3.75,6.67,3.89,47.99,0
154,19,0,4,12.16,36.42,41.56,81.36,6.97,31.1,38.53,33.08,5.09,3,4.63,11.03,3.56,35.23,0
155,22,1,2,12.99,35.87,39.94,71.87,4.31,37.18,35.86,38.11,4.53,2,3.65,8.91,3.5,28.94,0
156,17,1,4,15.45,42.47,46.63,79.01,5.54,43.01,45.32,43.82,5.94,3,4.9,10.63,4.57,49.18,0
157,17,1,5,13.44,36.43,36.46,68.89,3.73,37.46,38.63,37.76,4.55,2,3.96,7.22,3.74,37.04,0
158,24,1,3,5.87,15.65,14.24,57.31,2.01,19.73,17.74,16.41,6.09,3,1.8,2.94,1.52,23.1,0
159,24,1,4,23.11,63.6,65.07,76.15,5.22,64.37,62.39,67.9,6.21,3,6.47,12.38,6.14,62.63,1
160,24,1,3,18.9,57.0,66.61,94.14,8.82,53.05,56.69,53.54,6.74,4,6.77,16.36,6.17,56.84,0
161,22,0,3,15.82,38.63,40.19,65.61,2.85,41.16,42.14,41.02,2.77,1,3.34,6.13,3.28,46.1,0
162,22,1,2,16.27,44.68,42.58,68.89,3.65,46.74,47.89,49.3,3.55,2,3.78,7.33,4.1,47.61,0
163,24,0,1,14.05,36.89,32.9,65.85,3.33,36.56,37.94,36.43,6.52,3,3.86,7.34,3.69,31.17,0
164,25,1,3,20.43,57.57,58.03,77.8,5.34,56.79,54.4,58.74,7.11,3,6.12,11.71,5.67,53.32,0
165,18,1,2,16.8,45.15,46.07,69.59,4.13,46.02,48.1,43.87,6.63,3,4.56,8.83,4.52,36.5,0
166,23,1,1,17.21,47.01,47.41,68.34,3.69,51.01,51.16,51.46,4.69,2,4.66,8.03,4.55,51.49,0
167,19,0,3,12.02,32.02,31.4,63.12,2.67,36.31,35.04,33.42,5.55,3,3.17,5.38,3.18,31.6,0
168,23,0,3,23.27,60.36,59.2,69.23,3.73,68.99,63.19,65.58,6.0,3,5.73,10.82,6.08,59.05,0
169,17,1,1,,33.24,39.47,69.16,3.55,37.43,36.95,37.83,3.91,2,3.55,7.35,3.51,27.6,0
170,21,1,2,12.95,34.48,35.4,69.26,4.16,35.46,35.63,34.2,3.92,2,3.7,7.06,3.21,33.01,0
171,17,0,3,17.64,48.01,48.35,73.81,4.64,49.91,48.85,49.91,4.84,2,4.64,9.49,4.46,41.0,0
172,23,1,2,12.06,35.83,33.69,67.35,3.95,33.91,34.12,36.4,5.69,3,3.68,7.18,3.21,33.9,0
173,22,1,3,16.6,47.67,48.81,69.01,3.69,51.25,47.99,50.2,5.17,3,4.51,8.67,4.66,53.49,0
174,24,1,3,18.97,50.27,45.22,65.75,2.94,55.48,51.34,50.93,5.7,3,4.36,8.01,4.91,47.64,0
175,20,1,2,13.2,39.34,42.52,75.39,4.82,36.33,38.08,39.25,4.05,2,4.34,8.4,3.86,37.78,0
176,22,1,3,8.69,20.3,16.2,57.36,1.75,24.74,21.23,20.12,4.39,2,2.12,2.63,1.87,18.33,0
177,19,1,3,17.39,46.39,44.92,70.1,3.64,49.61,46.29,46.37,5.69,3,4.53,8.04,4.56,41.6,0
178,23,0,3,9.09,25.08,27.02,67.41,3.54,27.55,27.02,26.26,3.19,2,2.82,5.48,2.32,25.22,0
179,24,1,1,12.95,36.97,37.63,71.96,4.11,37.56,39.1,37.86,3.65,2,3.7,6.84,3.4,33.82,0
180,25,1,1,15.46,45.18,47.91,79.15,5.53,41.07,44.96,42.77,4.33,2,4.79,10.51,4.31,33.3,0
181,18,0,4,19.11,51.68,51.55,68.92,3.53,53.34,55.45,53.87,5.78,3,5.36,9.29,4.8,61.28,1
182,17,0,2,21.17,54.08,48.95,61.66,1.94,60.86,56.58,58.84,4.09,2,4.19,7.49,5.03,53.35,0
183,23,0,3,18.17,49.3,52.28,75.46,5.08,54.92,51.5,52.14,5.38,3,5.14,10.17,5.34,56.72,0
184,18,1,3,13.02,38.39,36.9,72.64,4.27,39.86,39.09,36.98,4.37,2,4.02,8.45,3.68,41.0,0
185,21,0,5,21.43,58.06,57.06,79.63,5.72,61.41,58.51,59.66,5.87,3,6.04,11.98,5.7,61.53,1
186,24,0,1,13.67,40.21,38.98,70.15,3.82,42.23,41.4,41.08,4.27,2,3.79,6.83,3.74,33.49,0
187,22,1,1,17.1,50.23,50.16,72.52,4.2,50.41,49.28,51.25,5.48,3,4.77,9.4,4.74,48.41,0
188,23,1,2,24.78,72.63,74.22,87.19,6.66,69.87,70.25,72.8,5.29,3,7.02,14.59,6.84,68.8,1
189,18,1,2,20.92,57.55,56.29,73.32,4.21,58.3,56.58,56.04,2.65,1,4.88,9.83,5.14,57.88,0
190,21,1,3,11.89,27.62,25.07,58.38,1.8,33.72,31.82,28.81,4.1,2,2.34,4.04,2.44,33.69,0
191,25,0,2,17.5,49.75,59.26,84.79,7.11,48.61,49.04,46.81,5.65,3,5.91,12.62,5.03,47.43,0
192,23,0,4,14.42,44.06,45.03,77.0,5.22,41.29,45.13,42.61,2.13,1,4.08,9.29,4.06,42.33,0
193,19,1,4,17.22,49.56,50.77,79.63,5.55,48.59,47.75,47.53,3.44,2,4.9,9.91,4.51,39.03,0
194,21,0,4,20.14,59.37,62.81,79.54,5.54,59.31,60.42,60.27,4.48,3,5.95,11.74,5.43,56.93,0
195,21,0,1,19.82,59.24,65.35,90.45,8.02,57.62,57.98,56.82,5.59,3,6.58,15.21,6.04,54.35,0
196,19,1,1,17.55,44.28,44.31,71.94,4.18,47.82,42.02,46.83,4.0,2,4.36,9.04,4.55,35.77,0
197,23,0,1,19.44,52.45,50.8,71.73,3.92,55.04,52.11,53.87,5.3,3,5.0,9.49,5.11,56.78,0
198,17,1,3,14.67,42.14,42.99,74.48,5.0,41.44,40.42,39.73,5.2,3,4.32,9.88,4.02,34.07,0
199,23,1,3,19.21,54.93,56.27,72.26,4.51,55.62,56.35,56.94,4.8,3,5.39,10.16,5.24,52.88,0
200,18,0,5,12.18,33.35,32.32,68.3,3.62,33.0,35.56,34.5,5.24,3,3.33,7.28,3.22,39.85,0
201,23,0,4,19.35,51.88,51.44,71.39,4.08,52.52,51.63,55.15,6.2,3,5.13,9.16,5.55,52.48,0
202,25,1,5,22.78,64.07,65.78,81.73,5.96,62.93,62.47,62.73,7.54,4,6.7,13.96,6.49,56.03,0
203,22,1,2,12.06,35.4,31.03,61.18,2.4,34.59,32.31,32.25,2.49,1,2.42,4.84,2.81,33.5,0
204,23,1,3,22.98,65.66,66.84,83.94,5.95,66.64,63.27,64.44,5.35,3,6.9,13.16,6.39,62.66,1
205,18,0,3,17.14,48.35,44.81,69.77,3.93,48.88,52.29,50.22,7.9,4,4.95,8.94,5.08,50.97,0
206,23,0,3,17.0,47.41,50.78,74.96,4.83,47.54,48.52,48.71,5.74,3,4.55,9.89,4.84,39.4,0
207,23,0,4,18.38,49.31,52.16,76.18,5.12,52.88,51.8,51.1,3.99,2,5.28,10.58,4.88,52.08,0
208,20,1,2,19.28,55.75,62.45,88.38,7.57,54.48,57.18,55.38,6.9,4,6.42,14.62,5.58,49.7,0
209,18,0,5,22.09,63.42,62.29,74.6,4.35,64.52,63.07,63.3,4.07,2,5.58,11.0,5.95,65.24,1
210,18,0,5,15.21,43.05,48.32,74.8,4.73,46.11,46.03,47.93,6.29,3,4.61,10.34,4.65,43.53,0
211,19,1,4,10.57,31.34,35.15,77.12,5.76,24.37,28.69,28.12,4.54,2,3.6,8.42,3.07,18.68,0
212,23,0,3,13.67,35.16,34.25,66.04,2.97,37.13,38.34,40.35,2.68,1,3.26,5.99,3.39,27.56,0
213,25,0,4,19.04,54.94,57.65,75.86,4.75,56.14,57.46,57.64,3.6,2,4.95,10.27,4.93,64.79,1
214,18,0,2,10.79,31.55,31.88,67.55,4.24,29.87,30.77,29.57,6.56,3,3.44,6.62,3.24,23.74,0
